target,status,error_message,classes,n_samples,hamming_loss,exact_match,precision_micro,recall_micro,f1_micro,f1_macro,outer_fold,n_train,n_test,model_path,final_train_loss,hidden_dim,dropout,learning_rate,weight_decay,batch_size,threshold,activation
GDS,error,No se pueden crear 5 folds: la clase menos frecuente solo tiene 2 muestras.,1|2|3|4|5|6|7,1119.0,,,,,,,,,,,,,,,,,,
GDS_R1,ok,,1|2|3,,0.10666666666666667,0.84,0.8311688311688312,0.8533333333333334,0.8421052631578949,0.47188755020080314,1.0,894.0,225.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R1_outer_fold_1.pt,0.257033218006693,32.0,0.3,0.001,0.0,32.0,0.4,relu
GDS_R1,ok,,1|2|3,,0.1037037037037037,0.8444444444444444,0.8384279475982532,0.8533333333333334,0.8458149779735684,0.49569707401032703,2.0,894.0,225.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R1_outer_fold_2.pt,0.23488045288812395,32.0,0.3,0.001,0.0,32.0,0.4,relu
GDS_R1,ok,,1|2|3,,0.10164424514200299,0.8475336322869955,0.8414096916299559,0.8565022421524664,0.8488888888888888,0.3450409289929564,3.0,896.0,223.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R1_outer_fold_3.pt,0.25368451167430195,32.0,0.3,0.001,0.0,32.0,0.4,relu
GDS_R1,ok,,1|2|3,,0.07473841554559044,0.8789237668161435,0.8844444444444445,0.8923766816143498,0.8883928571428572,0.7901234567901234,4.0,896.0,223.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R1_outer_fold_4.pt,0.17860845529607364,32.0,0.3,0.01,0.0,32.0,0.5,relu
GDS_R1,ok,,1|2|3,,0.08520179372197309,0.8699551569506726,0.8738738738738738,0.8699551569506726,0.8719101123595505,0.4783549783549783,5.0,896.0,223.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R1_outer_fold_5.pt,0.1700283315564905,32.0,0.3,0.01,0.0,32.0,0.5,relu
GDS_R2,ok,,1|2|3,,0.16592592592592592,0.6888888888888889,0.7868020304568528,0.6888888888888889,0.7345971563981043,0.6300676861871739,1.0,894.0,225.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R2_outer_fold_1.pt,0.4061400225631876,32.0,0.3,0.01,0.0,32.0,0.5,relu
GDS_R2,ok,,1|2|3,,0.18814814814814815,0.6044444444444445,0.7816091954022989,0.6044444444444445,0.681704260651629,0.4988179669030733,2.0,894.0,225.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R2_outer_fold_2.pt,0.4161642980522224,32.0,0.3,0.01,0.0,32.0,0.5,relu
GDS_R2,ok,,1|2|3,,0.18303571428571427,0.6651785714285714,0.7563451776649747,0.6651785714285714,0.7078384798099763,0.6078830266283729,3.0,895.0,224.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R2_outer_fold_3.pt,0.4028274604728102,32.0,0.3,0.01,0.0,32.0,0.5,relu
GDS_R2,ok,,1|2|3,,0.19581464872944693,0.6591928251121076,0.7254901960784313,0.6636771300448431,0.6932084309133489,0.5870938968431313,4.0,896.0,223.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R2_outer_fold_4.pt,0.3998012361781938,32.0,0.3,0.01,0.0,32.0,0.5,relu
GDS_R2,ok,,1|2|3,,0.1831831831831832,0.6351351351351351,0.7747252747252747,0.6351351351351351,0.6980198019801981,0.5663238979802446,5.0,897.0,222.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R2_outer_fold_5.pt,0.40242035054044184,32.0,0.3,0.01,0.0,32.0,0.5,relu
GDS_R3,ok,,1|3,,0.10666666666666667,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.7692307692307692,1.0,894.0,225.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R3_outer_fold_1.pt,0.22673808944972035,32.0,0.3,0.01,0.0,32.0,0.5,relu
GDS_R3,ok,,1|3,,0.06,0.9377777777777778,0.9380530973451328,0.9422222222222222,0.9401330376940132,0.8754939050021018,2.0,894.0,225.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R3_outer_fold_2.pt,0.2594723001922537,32.0,0.3,0.01,0.0,32.0,0.5,relu
GDS_R3,ok,,1|3,,0.09417040358744394,0.905829596412556,0.905829596412556,0.905829596412556,0.905829596412556,0.7949021153593483,3.0,896.0,223.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R3_outer_fold_3.pt,0.24575182875352247,32.0,0.3,0.01,0.0,32.0,0.5,relu
GDS_R3,ok,,1|3,,0.08295964125560538,0.9013452914798207,0.9043478260869565,0.9327354260089686,0.9183222958057395,0.8308632543926662,4.0,896.0,223.0,C:\Users\Josefa\Desktop\Lab02-DL-2026-01\outputs\models\GDS_R3_outer_fold_4.pt,0.22797092303101504,32.0,0.3,0.01,0.0,32.0,0.5,relu
